Employee #,First Name,Last Name,Birthday,Hourly Rate,Rice Subsidy,Phone Allowance,Clothing Allowance,Status,Position,Basic Salary,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Immediate Supervisor,Gross Semi-monthly Rate,Address
10016,Christian,Mata,21-Oct-87,255.8,1500,800,800,Regular,Account_Team_Leader,"42,975",783-776-744,49-2959312-6,8.24188E+11,103-100-522-000,631052-85-3464,"Romualdez, Fredrick ","21,488","90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu "
10017,Selena ,De Leon,20-Feb-75,249.11,1500,800,800,Regular,Account_Team_Leader,"41,850",975-432-139,27-2090208-8,5.87272E+11,482-259-498-000,719007-60-8464,"Romualdez, Fredrick ","20,925","89A Armstrong Trace, Compostela 7874 Maguindanao"
10018,Allison ,San Jose,24-Jun-86,133.93,1500,500,500,Regular,Account Rank_and_File,"22,500",179-075-129,45-3251383-0,7.45148E+11,121-203-336-000,114901-85-9343,"Mata, Christian","11,250","08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union"
10019,Cydney ,Rosario,6-Oct-96,133.93,1500,500,500,Regular,Account Rank_and_File,"22,500",868-819-912,49-1629900-2,5.79253E+11,122-244-511-000,265104-35-8643,"Mata, Christian","11,250","93A/21 Berge Points, Tapaz 2180 Quezon"
10020,Mark ,Bautista,12-Feb-91,138.39,1500,500,500,Regular,Account Rank_and_File,"23,250",683-725-348,49-1647342-5,3.99665E+11,273-970-941-000,260054-58-5575,"Mata, Christian","11,625","65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino"
10021,Darlene ,Lazaro,25-Nov-85,138.39,1500,500,500,Probationary,Account Rank_and_File,"23,250",740-721-558,45-5617168-2,6.06387E+11,354-650-951-000,104907-70-8845,"Mata, Christian","11,625","47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino"
10022,Kolby ,Delos Santos,26-Feb-80,142.86,1500,500,500,Probationary,Account Rank_and_File,"24,000",739-443-033,52-0109570-6,3.57451E+11,187-500-345-000,113017-98-8667,"Mata, Christian","12,000","06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur"
10023,Vella ,Santos,31-Dec-83,133.93,1500,500,500,Probationary,Account Rank_and_File,"22,500",955-879-269,52-9883524-3,5.4867E+11,101-558-994-000,360028-10-4576,"Mata, Christian","11,250","99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur"
10024,Tomas,Del Rosario,18-Dec-78,133.93,1500,500,500,Probationary,Account Rank_and_File,"22,500",882-550-989,45-5866331-6,9.53902E+11,560-735-732-000,913108-64-9964,"Mata, Christian","11,250","80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque"
10025,Jacklyn ,Tolentino,19-May-84,142.86,1500,500,500,Probationary,Account Rank_and_File,"24,000",675-757-366,47-1692793-0,7.53801E+11,841-177-857-000,210546-66-1243,"De Leon, Selena","12,000","96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao"
10026,Percival ,Gutierrez,18-Dec-70,147.32,1500,500,500,Probationary,Account Rank_and_File,"24,750",512-899-876,40-9504657-8,7.97639E+11,502-995-671-000,210897-09-5686,"De Leon, Selena","12,375","58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur"
10027,Garfield ,Manalaysay,28-Aug-86,147.32,1500,500,500,Probationary,Account Rank_and_File,"24,750",948-628-136,45-3298166-4,8.10909E+11,336-676-445-000,211274-47-6563,"De Leon, Selena","12,375","60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur"
10028,Lizeth ,Villegas,12-Dec-81,142.86,1500,500,500,Probationary,Account Rank_and_File,"24,000",332-372-215,40-2400719-4,9.3439E+11,210-395-397-000,122238-07-7997,"De Leon, Selena","12,000","66/77 Mann Views, Luisiana 1263 Dinagat Islands"
10029,Carol ,Ramos,20-Aug-78,133.93,1500,500,500,Probationary,Account Rank_and_File,"22,500",250-700-389,60-1152206-4,3.5183E+11,395-032-717-000,212141-89-3454,"De Leon, Selena","11,250","72/70 Stamm Spurs, Bustos 4550 Iloilo"
10030,Emelia ,Maceda,14-Apr-73,133.93,1500,500,500,Probationary,Account Rank_and_File,"22,500",973-358-041,54-1331005-0,4.65088E+11,215-973-013-000,515012-57-9765,"De Leon, Selena","11,250","50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija"
10031,Delia ,Aguilar,27-Jan-89,133.93,1500,500,500,Probationary,Account Rank_and_File,"22,500",529-705-439,52-1859253-1,1.36451E+11,599-312-588-000,110018-81-3465,"De Leon, Selena","11,250","95 Cremin Junction, Surallah 2809 Cotabato"
10032,John Rafael,Castro,9-Feb-92,313.51,1500,1000,1000,Regular,Sales_&_Marketing,"52,670",332-424-955 ,26-7145133-4,6.01645E+11,404-768-309-000,697764-06-9311,"Reyes, Isabella","26,335","Hi-way, Yati, Liloan Cebu"
10033,Carlos Ian,Martinez,16-Nov-90,313.51,1500,1000,1000,Regular,Supply_Chain_and_Logistics,"52,670",078-854-208,11-5062972-7,3.80685E+11,256-436-296-000,993372-96-3726,"Reyes, Isabella","26,335","Bulala, Camalaniugan"
10034,Beatriz,Santos,7-Aug-90,313.51,1500,1000,1000,Regular,Customer_Service_and_Relations,"52,670",526-639-511,20-2987501-5,9.1846E+11,911-529-713-000,874042-25-9378,"Reyes, Isabella","26,335","Agapita Building, Metro Manila"
