Employee #,First Name,Last Name,Birthday,Hourly Rate,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate
10011,Anthony,Salcedo,14-Sep-93,302.53,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,26-9647608-3,26-9647608-3,210-805-911-000,218002-47-3454,Regular,Payroll Manager,"Alvaro, Roderick","50,825","1,500","1,000","1,000","25,413"
10012,Josie ,Lopez,14-Jan-87,229.02,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,44-8563448-3,44-8563448-3,218-489-737-000,113071-29-3354,Regular,Payroll Team Leader,"Salcedo, Anthony","38,475","1,500",800,800,"19,238"
10013,Martha,Farala,11-Jan-42,142.86,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",329-034-366,45-5656375-0,45-5656375-0,210-835-851-000,631130-28-3546,Regular,Payroll Rank and File,"Salcedo, Anthony","24,000","1,500",500,500,"12,000"
10014,Leila,Martinez,11-Jul-70,142.86,"37/46 Kulas Roads, Maragondon 0962 Quirino ",877-110-749,27-2090996-4,27-2090996-4,275-792-513-000,101205-44-5886,Regular,Payroll Rank and File,"Salcedo, Anthony","24,000","1,500",500,500,"12,000"
10015,Fredrick ,Romualdez,10-Mar-85,318.45,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,26-8768374-1,598-065-761-000,223057-70-7853,Regular,Account Manager,"Lim, Antonio","53,500","1,500","1,000","1,000","26,750"
10016,Christian,Mata,21-Oct-87,255.8,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",783-776-744,49-2959312-6,49-2959312-6,103-100-522-000,631052-85-3464,Regular,Account Team Leader,"Romualdez, Fredrick ","42,975","1,500",800,800,"21,488"
10017,Selena ,De Leon,20-Feb-75,249.11,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,27-2090208-8,482-259-498-000,719007-60-8464,Regular,Account Team Leader,"Romualdez, Fredrick ","41,850","1,500",800,800,"20,925"
10018,Allison ,San Jose,24-Jun-86,133.93,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,45-3251383-0,121-203-336-000,114901-85-9343,Regular,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250"
10019,Cydney ,Rosario,6-Oct-96,133.93,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,49-1629900-2,122-244-511-000,265104-35-8643,Regular,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250"
10020,Mark ,Bautista,12-Feb-91,138.39,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,49-1647342-5,273-970-941-000,260054-58-5575,Regular,Account Rank and File,"Mata, Christian","23,250","1,500",500,500,"11,625"
10021,Darlene ,Lazaro,25-Nov-85,138.39,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,45-5617168-2,45-5617168-2,354-650-951-000,104907-70-8845,Probationary,Account Rank and File,"Mata, Christian","23,250","1,500",500,500,"11,625"
10022,Kolby ,Delos Santos,26-Feb-80,142.86,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,52-0109570-6,52-0109570-6,187-500-345-000,113017-98-8667,Probationary,Account Rank and File,"Mata, Christian","24,000","1,500",500,500,"12,000"
10023,Vella ,Santos,31-Dec-83,133.93,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,52-9883524-3,52-9883524-3,101-558-994-000,360028-10-4576,Probationary,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250"
10024,Tomas,Del Rosario,18-Dec-78,133.93,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,45-5866331-6,45-5866331-6,560-735-732-000,913108-64-9964,Probationary,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250"
10025,Jacklyn ,Tolentino,19-May-84,142.86,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,47-1692793-0,47-1692793-0,841-177-857-000,210546-66-1243,Probationary,Account Rank and File,"De Leon, Selena","24,000","1,500",500,500,"12,000"
10026,Percival ,Gutierrez,18-Dec-70,147.32,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876,40-9504657-8,40-9504657-8,502-995-671-000,210897-09-5686,Probationary,Account Rank and File,"De Leon, Selena","24,750","1,500",500,500,"12,375"
10027,Garfield ,Manalaysay,28-Aug-86,147.32,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136,45-3298166-4,45-3298166-4,336-676-445-000,211274-47-6563,Probationary,Account Rank and File,"De Leon, Selena","24,750","1,500",500,500,"12,375"
10028,Lizeth ,Villegas,12-Dec-81,142.86,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215,40-2400719-4,40-2400719-4,210-395-397-000,122238-07-7997,Probationary,Account Rank and File,"De Leon, Selena","24,000","1,500",500,500,"12,000"
10029,Carol ,Ramos,20-Aug-78,133.93,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389,60-1152206-4,60-1152206-4,395-032-717-000,212141-89-3454,Probationary,Account Rank and File,"De Leon, Selena","22,500","1,500",500,500,"11,250"
10030,Emelia ,Maceda,14-Apr-73,133.93,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041,54-1331005-0,54-1331005-0,215-973-013-000,515012-57-9765,Probationary,Account Rank and File,"De Leon, Selena","22,500","1,500",500,500,"11,250"
10031,Delia ,Aguilar,27-Jan-89,133.93,"95 Cremin Junction, Surallah 2809 Cotabato",529-705-439,52-1859253-1,52-1859253-1,599-312-588-000,110018-81-3465,Probationary,Account Rank and File,"De Leon, Selena","22,500","1,500",500,500,"11,250"
10032,John Rafael,Castro,9-Feb-92,313.51,"Hi-way, Yati, Liloan Cebu",332-424-955 ,26-7145133-4,26-7145133-4,404-768-309-000,697764-06-9311,Regular,Sales & Marketing,"Reyes, Isabella","52,670","1,500","1,000","1,000","26,335"
10033,Carlos Ian,Martinez,16-Nov-90,313.51,"Bulala, Camalaniugan",078-854-208,11-5062972-7,11-5062972-7,256-436-296-000,993372-96-3726,Regular,Supply Chain and Logistics,"Reyes, Isabella","52,670","1,500","1,000","1,000","26,335"
10034,Beatriz,Santos,7-Aug-90,313.51,"Agapita Building, Metro Manila",526-639-511,20-2987501-5,20-2987501-5,911-529-713-000,874042-25-9378,Regular,Customer Service and Relations,"Reyes, Isabella","52,670","1,500","1,000","1,000","26,335"
